iter	MultiClass
0	4.454507614
1	4.287609079
2	4.16501507
3	4.056981503
4	3.97408069
5	3.900551297
6	3.837391371
7	3.784417612
8	3.726285418
9	3.683414873
10	3.643091742
11	3.602229345
12	3.561130013
13	3.519387223
14	3.482843394
15	3.446500095
16	3.410389546
17	3.384862419
18	3.358278988
19	3.330654223
20	3.301327239
21	3.263837581
22	3.241440891
23	3.215429184
24	3.192942434
25	3.178199466
26	3.144744033
27	3.123310377
28	3.100841019
29	3.082094021
30	3.062549903
31	3.044104963
32	3.031989802
33	3.011195898
34	2.990848088
35	2.976204228
36	2.963399939
37	2.946712173
38	2.93292218
39	2.910046766
40	2.89475948
41	2.88123661
42	2.868664939
43	2.855679651
44	2.849542343
45	2.836660107
46	2.823137214
47	2.808671935
48	2.794395809
49	2.784962745
50	2.769508102
51	2.760152767
52	2.746394932
53	2.734938049
54	2.723891759
55	2.713079599
56	2.701363927
57	2.690848065
58	2.680474867
59	2.67036807
60	2.658781423
61	2.651276997
62	2.64439472
63	2.638280934
64	2.631267427
65	2.623156557
66	2.617902983
67	2.608968865
68	2.603162356
69	2.596357893
70	2.587397976
71	2.578253862
72	2.571213284
73	2.564857447
74	2.558923102
75	2.551132646
76	2.544537368
77	2.539767133
78	2.53331386
79	2.526819786
80	2.52342849
81	2.517941999
82	2.512484343
83	2.507357131
84	2.501777647
85	2.496779912
86	2.491213814
87	2.484625061
88	2.476986778
89	2.473204842
90	2.467687549
91	2.462190991
92	2.455547472
93	2.45021162
94	2.442955097
95	2.438207979
96	2.434088739
97	2.428101175
98	2.423488237
99	2.418319148
100	2.412825272
101	2.407937484
102	2.403819184
103	2.399344816
104	2.393912974
105	2.388540778
106	2.384885222
107	2.377761169
108	2.374466538
109	2.370358155
110	2.3650687
111	2.358789639
112	2.35240628
113	2.346800344
114	2.34343779
115	2.339179491
116	2.334308164
117	2.330590154
118	2.324978005
119	2.321454626
120	2.318732972
121	2.314438289
122	2.31114831
123	2.308933783
124	2.304544597
125	2.299733447
126	2.295205257
127	2.292324745
128	2.289339144
129	2.284957647
130	2.282767543
131	2.279321515
132	2.277603473
133	2.272252483
134	2.267448726
135	2.263904396
136	2.261092924
137	2.259416856
138	2.255802806
139	2.252817635
140	2.249741107
141	2.245966352
142	2.241404784
143	2.237395596
144	2.235064212
145	2.233710509
146	2.23070972
147	2.227839395
148	2.225453542
149	2.22235681
150	2.220050422
151	2.216860325
152	2.213314502
153	2.210223212
154	2.2088716
155	2.207511793
156	2.204825289
157	2.201497101
158	2.198288526
159	2.196063031
160	2.192758865
161	2.189040229
162	2.187190536
163	2.182330443
164	2.180892914
165	2.1763548
166	2.174399732
167	2.171874871
168	2.169189879
169	2.167568983
170	2.164014768
171	2.162362885
172	2.159400219
173	2.158171476
174	2.154546387
175	2.151254327
176	2.148914753
177	2.145903153
178	2.141226648
179	2.137462714
180	2.134894684
181	2.13403774
182	2.1297917
183	2.125870231
184	2.122246602
185	2.120642525
186	2.117319105
187	2.114869854
188	2.110254275
189	2.108452482
190	2.105917872
191	2.104721031
192	2.102028815
193	2.099680041
194	2.097025565
195	2.094166296
196	2.09230198
197	2.089591294
198	2.088617934
199	2.086784902
200	2.085779961
201	2.083423591
202	2.080228308
203	2.077589731
204	2.075417447
205	2.073772363
206	2.072285671
207	2.070804471
208	2.067964397
209	2.066777249
210	2.064338659
211	2.061059977
212	2.058423405
213	2.055886383
214	2.053100877
215	2.049949082
216	2.047064148
217	2.045581509
218	2.044101319
219	2.042188831
220	2.038976406
221	2.035677096
222	2.033280036
223	2.032605934
224	2.031944772
225	2.028396898
226	2.026280579
227	2.022064719
228	2.020306459
229	2.018031838
230	2.015385769
231	2.013877444
232	2.011982912
233	2.010642352
234	2.00835372
235	2.005616271
236	2.003194465
237	2.000705328
238	1.998411459
239	1.995321865
240	1.994740015
241	1.992493761
242	1.989930969
243	1.987713247
244	1.98562622
245	1.984123892
246	1.981927451
247	1.980353155
248	1.978049396
249	1.977327687
250	1.97500001
251	1.97277515
252	1.970856478
253	1.969836642
254	1.967354873
255	1.965813771
256	1.964133005
257	1.96229271
258	1.960122235
259	1.958662173
260	1.956769357
261	1.954834023
262	1.953098636
263	1.949842848
264	1.947994207
265	1.946191128
266	1.944375222
267	1.942620267
268	1.940664513
269	1.939193251
270	1.936684942
271	1.935941044
272	1.934329009
273	1.931577137
274	1.929517523
275	1.9278153
276	1.925806862
277	1.923319561
278	1.920334302
279	1.918975413
280	1.91679916
281	1.9146895
282	1.912112597
283	1.910449023
284	1.908699688
285	1.907685805
286	1.905636566
287	1.904211193
288	1.902504595
289	1.900767987
290	1.899609487
291	1.897816508
292	1.896173139
293	1.894290361
294	1.892956788
295	1.891518836
296	1.89097569
297	1.888814151
298	1.886675095
299	1.885088936
300	1.883809519
301	1.881996754
302	1.879683206
303	1.877904638
304	1.875107155
305	1.872490982
306	1.870404985
307	1.867586313
308	1.866152729
309	1.864598144
310	1.864188155
311	1.862770465
312	1.860727561
313	1.859238183
314	1.858374996
315	1.856757768
316	1.854961126
317	1.853120467
318	1.851959556
319	1.850379413
320	1.849839152
321	1.848483073
322	1.846605812
323	1.84624252
324	1.844614451
325	1.842000153
326	1.84114711
327	1.83965436
328	1.837854726
329	1.836201704
330	1.834029988
331	1.832715984
332	1.831278597
333	1.82993957
334	1.829013458
335	1.82704994
336	1.825483656
337	1.824190302
338	1.822219124
339	1.820791674
340	1.819300066
341	1.816571156
342	1.815341212
343	1.814817111
344	1.813197841
345	1.811602207
346	1.810270286
347	1.808670885
348	1.807091123
349	1.805608032
350	1.803490559
351	1.8022612
352	1.800478383
353	1.799151714
354	1.797023131
355	1.7958983
356	1.795378797
357	1.793756326
358	1.792509335
359	1.790288054
360	1.78867755
361	1.787337258
362	1.785922775
363	1.785095905
364	1.784434311
365	1.783358014
366	1.7821233
367	1.779857309
368	1.779113828
369	1.777543036
370	1.775897138
371	1.774326221
372	1.7729134
373	1.772157253
374	1.770962629
375	1.768113096
376	1.767349072
377	1.766382881
378	1.765608621
379	1.763309659
380	1.761611515
381	1.759381311
382	1.756787186
383	1.755766248
384	1.755165976
385	1.753407224
386	1.750327384
387	1.749762191
388	1.747774684
389	1.745724343
390	1.744066938
391	1.741906787
392	1.740849722
393	1.739671358
394	1.737901768
395	1.73682752
396	1.736246116
397	1.734976699
398	1.733542758
399	1.732085041
400	1.73009307
401	1.728044275
402	1.727183355
403	1.725131144
404	1.724438765
405	1.723104243
406	1.72202009
407	1.720460004
408	1.719773623
409	1.718633218
410	1.71765988
411	1.715981376
412	1.715471117
413	1.713803374
414	1.712746576
415	1.712385417
416	1.711143504
417	1.70928035
418	1.70868036
419	1.707014832
420	1.705766693
421	1.704326485
422	1.703223509
423	1.701195129
424	1.699522841
425	1.698550487
426	1.697291647
427	1.695960023
428	1.694671988
429	1.692779934
430	1.691894073
431	1.690651906
432	1.689194891
433	1.687992705
434	1.687206601
435	1.686422926
436	1.684800451
437	1.683516399
438	1.682148307
439	1.68048581
440	1.679533353
441	1.678333409
442	1.677672377
443	1.677086093
444	1.675859775
445	1.67435985
446	1.673324058
447	1.671270046
448	1.669687317
449	1.667919201
450	1.666482045
451	1.666031394
452	1.664233781
453	1.662915347
454	1.66221805
455	1.661268386
456	1.659906978
457	1.657586645
458	1.655620036
459	1.654607281
460	1.653161779
461	1.651494306
462	1.650172239
463	1.649384186
464	1.648247287
465	1.64605536
466	1.644133231
467	1.642975652
468	1.642075577
469	1.641661932
470	1.640234433
471	1.638445327
472	1.6359073
473	1.633719418
474	1.632531323
475	1.631702723
476	1.630691971
477	1.629203416
478	1.628228896
479	1.627160072
480	1.625748895
481	1.624437838
482	1.622974536
483	1.621926355
484	1.62089775
485	1.619360189
486	1.618944749
487	1.617694338
488	1.616593137
489	1.614863806
490	1.61353606
491	1.611352029
492	1.609924043
493	1.609270598
494	1.607907441
495	1.60697666
496	1.606234251
497	1.605232673
498	1.603780154
499	1.60271018
500	1.602327599
501	1.601457587
502	1.599932545
503	1.598694878
504	1.597552057
505	1.596374141
506	1.594924947
507	1.593926624
508	1.592632989
509	1.591792637
510	1.590887878
511	1.589516446
512	1.587972325
513	1.586330194
514	1.585464332
515	1.584742905
516	1.58353645
517	1.581724006
518	1.580870063
519	1.580105763
520	1.579342251
521	1.578182176
522	1.576424925
523	1.575170299
524	1.574753399
525	1.573015863
526	1.571806579
527	1.570096901
528	1.569029299
529	1.568358853
530	1.56718826
531	1.566617038
532	1.565546693
533	1.564334826
534	1.563760394
535	1.56305071
536	1.56221255
537	1.561063274
538	1.559473258
539	1.559218044
540	1.557927784
541	1.557276298
542	1.556345777
543	1.55559015
544	1.553869658
545	1.552997078
546	1.551648043
547	1.550403183
548	1.549054544
549	1.548207462
550	1.546661061
551	1.545636385
552	1.543597287
553	1.542692505
554	1.541876369
555	1.541184264
556	1.540302966
557	1.538837305
558	1.537756943
559	1.537347747
560	1.536354344
561	1.535119659
562	1.533157206
563	1.531546533
564	1.530461133
565	1.529463839
566	1.528421593
567	1.527336378
568	1.526594371
569	1.525411538
570	1.524775732
571	1.523875128
572	1.522668987
573	1.521406764
574	1.519010012
575	1.517827363
576	1.516232821
577	1.515510855
578	1.515124213
579	1.514418712
580	1.513631873
581	1.51230242
582	1.511063049
583	1.510219181
584	1.509301878
585	1.50846764
586	1.507841245
587	1.507127462
588	1.506499514
589	1.505229995
590	1.504483701
591	1.503016274
592	1.502328192
593	1.501512177
594	1.500225598
595	1.499018056
596	1.498155554
597	1.497065117
598	1.496392112
599	1.495399662
600	1.494766871
601	1.493691361
602	1.49274169
603	1.491791396
604	1.490539497
605	1.489537648
606	1.488918144
607	1.487324497
608	1.486454085
609	1.485939793
610	1.484603003
611	1.482936239
612	1.481663604
613	1.480797424
614	1.479833188
615	1.47814607
616	1.477191001
617	1.475707847
618	1.474475554
619	1.473351494
620	1.472718801
621	1.471960563
622	1.470259223
623	1.469133921
624	1.467982077
625	1.466422527
626	1.465663518
627	1.464814967
628	1.463616985
629	1.462446197
630	1.461798589
631	1.460188621
