iter	Passed	Remaining
0	2690	2687407
1	4378	2184754
2	5615	1866352
3	6799	1693016
4	7982	1588474
5	9318	1543769
6	10580	1500918
7	11800	1463267
8	13117	1444396
9	14181	1403997
10	15372	1382164
11	16732	1377619
12	18431	1399357
13	19533	1375698
14	20741	1362054
15	21879	1345569
16	22943	1326679
17	23853	1301339
18	25193	1300783
19	26084	1278150
20	27228	1269383
21	28386	1261899
22	54654	2321635
23	55720	2265976
24	56482	2202808
25	57231	2143962
26	57996	2090007
27	58757	2039736
28	59586	1995127
29	60390	1952617
30	61241	1914277
31	62195	1881422
32	63860	1871319
33	65542	1862182
34	66462	1832462
35	67394	1804664
36	68336	1778599
37	69205	1751984
38	70117	1727777
39	71016	1704407
40	71902	1681820
41	73111	1667631
42	74067	1648430
43	74984	1629216
44	75943	1611679
45	78428	1626548
46	79825	1618586
47	80793	1602405
48	81782	1587255
49	82884	1574810
50	84474	1571883
51	85949	1566930
52	87295	1559790
53	88335	1547512
54	89304	1534407
55	90226	1520961
56	91243	1509527
57	92228	1497911
58	93072	1484424
59	93966	1472146
60	94908	1460973
61	95793	1449259
62	96703	1438275
63	97691	1428742
64	98646	1418993
65	99355	1406032
66	100035	1393038
67	195247	2676037
68	196509	2651453
69	197272	2620911
70	198061	2591537
71	198857	2563057
72	199733	2536341
73	200700	2511467
74	201658	2487115
75	202580	2462957
76	203567	2440170
77	204571	2418134
78	206394	2406194
79	207667	2388172
80	208647	2367252
81	209584	2346322
82	210459	2325200
83	211645	2307945
84	212557	2288123
85	213411	2268118
86	214298	2248905
87	215180	2230052
88	216263	2213665
89	217141	2195538
90	218066	2178271
91	219112	2162542
92	220073	2146307
93	220983	2129908
94	221854	2113456
95	222728	2097356
96	223664	2082153
97	224526	2066556
98	225431	2051658
99	226365	2037290
100	227224	2022520
101	228106	2008234
102	228970	1994042
103	229839	1980156
104	230682	1966292
105	231616	1953446
106	232540	1940736
107	233389	1927627
108	234268	1914985
109	235153	1902605
110	236125	1891134
111	236983	1878939
112	237851	1867027
113	238700	1855159
114	239600	1843880
115	240375	1831830
116	240885	1817965
117	241648	1806222
118	271931	2013207
119	272895	2001233
120	273675	1988107
121	274393	1974737
122	275122	1961644
123	276122	1950669
124	277133	1939933
125	277977	1928195
126	278823	1916638
127	279680	1905326
128	280532	1894137
129	281386	1883125
130	282299	1872658
131	283154	1861956
132	284048	1851655
133	284961	1841617
134	285834	1831454
135	286691	1821333
136	287581	1811551
137	288471	1801901
138	289348	1792293
139	290214	1782745
140	291092	1773395
141	291961	1764106
142	292792	1754706
143	293657	1745628
144	294554	1736855
145	295451	1728186
146	296360	1719697
147	297211	1710974
148	298108	1702619
149	298968	1694155
150	299863	1685984
151	300730	1677759
152	301588	1669578
153	302460	1661568
154	303348	1653740
155	304261	1646132
156	305140	1638428
157	306053	1630991
158	306896	1623268
159	307804	1615972
160	308650	1608432
161	309595	1601488
162	310503	1594424
163	311380	1587282
164	312290	1580381
165	313102	1573056
166	314030	1566393
167	314859	1559304
168	315732	1552506
169	316687	1546180
170	317207	1537807
171	318003	1530854
172	324425	1550868
173	325366	1544554
174	326098	1537319
175	326830	1530159
176	327555	1523040
177	328462	1516833
178	329456	1511080
179	330315	1504769
180	331181	1498548
181	332082	1492548
182	332927	1486349
183	333768	1480189
184	334659	1474312
185	335572	1468582
186	336421	1462624
187	337301	1456855
188	338123	1450890
189	339059	1445464
190	339878	1439591
191	340791	1434165
192	341669	1428640
193	342546	1423155
194	343417	1417696
195	344258	1412162
196	345139	1406838
197	346035	1401617
198	346868	1396189
199	347766	1391067
200	348673	1386018
201	349541	1380861
202	350409	1375745
203	351318	1370830
204	352192	1365821
205	353095	1360960
206	353957	1355981
207	354802	1350978
208	355664	1346080
209	356557	1341334
210	357590	1337152
211	358490	1332503
212	359361	1327781
213	360402	1323721
214	361301	1319172
215	362208	1314683
216	363091	1310139
217	364365	1307036
218	367201	1309518
219	368306	1305815
220	369306	1301762
221	370087	1296973
222	525151	1829788
223	526747	1824803
224	527672	1817537
225	528401	1809659
226	529227	1802171
227	530023	1794639
228	530868	1787334
229	531703	1780051
230	532595	1773013
231	534639	1769839
232	536574	1766320
233	537893	1760796
234	539320	1755658
235	540671	1750308
236	542119	1745304
237	543314	1739520
238	544494	1733723
239	545420	1727166
240	546384	1720770
241	547315	1714318
242	548262	1707961
243	549133	1701414
244	549989	1694865
245	550933	1688632
246	551850	1682361
247	552735	1676037
248	553569	1669600
249	554497	1663491
250	555383	1657298
251	556261	1651124
252	557121	1644939
253	558034	1638952
254	558895	1632851
255	559814	1626961
256	560702	1621018
257	561618	1615198
258	562495	1609302
259	563388	1603489
260	564251	1597630
261	565135	1591869
262	566003	1586101
263	566873	1580374
264	567707	1574585
265	568589	1568964
266	569486	1563422
267	570296	1557676
268	571109	1551975
269	631022	1706097
270	634561	1706993
271	635641	1701275
272	636572	1695194
273	637414	1688914
274	638507	1683338
275	639734	1678143
276	641589	1674616
277	643297	1670722
278	644905	1666584
279	646518	1662475
280	647588	1656997
281	648630	1651477
282	649857	1646457
283	650884	1640963
284	651807	1635237
285	652743	1629576
286	653753	1624133
287	654821	1618864
288	655832	1613485
289	656843	1608133
290	657781	1602636
291	658606	1596895
292	659552	1591478
293	660647	1586452
294	661751	1581474
295	662831	1576465
296	663882	1571411
297	664869	1566235
298	665795	1560944
299	666676	1555579
300	667516	1550145
301	668326	1544675
302	669121	1539201
303	669891	1533699
304	670642	1528184
305	671410	1522741
306	672175	1517321
307	673085	1512257
308	674311	1507926
309	675373	1503250
310	676216	1498112
311	677197	1493306
312	678029	1488197
313	679357	1484201
314	681174	1481283
315	682054	1476345
316	682838	1471226
317	683760	1466429
318	685091	1462531
319	686008	1457768
320	686873	1452919
321	688078	1448811
322	688952	1444027
323	690114	1439869
324	691152	1435469
325	692014	1430730
326	692991	1426248
327	693941	1421733
328	694789	1417031
329	695625	1412329
330	696343	1407413
331	697074	1402548
332	697837	1397770
333	698663	1393142
334	699789	1389134
335	700768	1384852
336	701967	1381022
337	702964	1376812
338	703825	1372355
339	704707	1367961
340	705658	1363721
341	706954	1360163
342	708010	1356159
343	709074	1352188
344	710012	1347994
345	710884	1343694
346	711910	1339705
347	713048	1335940
348	713998	1331843
349	715030	1327914
350	716385	1324597
351	717649	1321127
352	719000	1317828
353	720142	1314159
354	721128	1310220
355	722340	1306706
356	723293	1302739
357	724529	1299295
358	725848	1296013
359	726992	1292431
360	728266	1289091
361	729298	1285337
362	730765	1282362
363	731635	1278352
364	732537	1274414
365	733627	1270818
366	735217	1268099
367	736164	1264282
368	737040	1260358
369	737809	1256271
370	738634	1252294
371	739490	1248386
